FIPS,Province_State,date,deaths
42007,Pennsylvania,2020-05-01,67
42007,Pennsylvania,2020-05-02,68
42007,Pennsylvania,2020-05-03,68
42007,Pennsylvania,2020-05-04,68
42007,Pennsylvania,2020-05-05,73
42007,Pennsylvania,2020-05-06,76
42007,Pennsylvania,2020-05-07,78
42007,Pennsylvania,2020-05-08,78
42007,Pennsylvania,2020-05-09,78
42007,Pennsylvania,2020-05-10,78
42007,Pennsylvania,2020-05-11,78
42007,Pennsylvania,2020-05-12,78
42007,Pennsylvania,2020-05-13,78
42007,Pennsylvania,2020-05-14,82
42007,Pennsylvania,2020-05-15,83
42007,Pennsylvania,2020-05-16,83
42007,Pennsylvania,2020-05-17,83
42007,Pennsylvania,2020-05-18,70
42007,Pennsylvania,2020-05-19,70
42007,Pennsylvania,2020-05-20,70
42007,Pennsylvania,2020-05-21,71
42007,Pennsylvania,2020-05-22,71
42007,Pennsylvania,2020-05-23,72
42007,Pennsylvania,2020-05-24,72
42007,Pennsylvania,2020-05-25,72
42007,Pennsylvania,2020-05-26,72
42007,Pennsylvania,2020-05-27,72
42007,Pennsylvania,2020-05-28,72
42007,Pennsylvania,2020-05-29,73
42007,Pennsylvania,2020-05-30,73
42007,Pennsylvania,2020-05-31,73
42007,Pennsylvania,2020-06-01,73
42007,Pennsylvania,2020-06-02,74
42007,Pennsylvania,2020-06-03,74
42007,Pennsylvania,2020-06-04,74
42007,Pennsylvania,2020-06-05,74
42007,Pennsylvania,2020-06-06,74
42007,Pennsylvania,2020-06-07,74
42007,Pennsylvania,2020-06-08,74
42007,Pennsylvania,2020-06-09,74
42007,Pennsylvania,2020-06-10,74
42007,Pennsylvania,2020-06-11,75
42007,Pennsylvania,2020-06-12,75
42007,Pennsylvania,2020-06-13,75
42007,Pennsylvania,2020-06-14,75
42007,Pennsylvania,2020-06-15,77
42007,Pennsylvania,2020-06-16,77
42007,Pennsylvania,2020-06-17,77
42009,Pennsylvania,2020-01-22,0
42009,Pennsylvania,2020-01-23,0
42009,Pennsylvania,2020-01-24,0
42009,Pennsylvania,2020-01-25,0
42009,Pennsylvania,2020-01-26,0
42009,Pennsylvania,2020-01-27,0
42009,Pennsylvania,2020-01-28,0
42009,Pennsylvania,2020-01-29,0
42009,Pennsylvania,2020-01-30,0
42009,Pennsylvania,2020-01-31,0
42009,Pennsylvania,2020-02-01,0
42009,Pennsylvania,2020-02-02,0
42009,Pennsylvania,2020-02-03,0
42009,Pennsylvania,2020-02-04,0
42009,Pennsylvania,2020-02-05,0
42009,Pennsylvania,2020-02-06,0
42009,Pennsylvania,2020-02-07,0
42009,Pennsylvania,2020-02-08,0
42009,Pennsylvania,2020-02-09,0
42009,Pennsylvania,2020-02-10,0
42009,Pennsylvania,2020-02-11,0
42009,Pennsylvania,2020-02-12,0
42009,Pennsylvania,2020-02-13,0
42009,Pennsylvania,2020-02-14,0
42009,Pennsylvania,2020-02-15,0
42009,Pennsylvania,2020-02-16,0
42009,Pennsylvania,2020-02-17,0
42009,Pennsylvania,2020-02-18,0
42009,Pennsylvania,2020-02-19,0
42009,Pennsylvania,2020-02-20,0
42009,Pennsylvania,2020-02-21,0
42009,Pennsylvania,2020-02-22,0
42009,Pennsylvania,2020-02-23,0
42009,Pennsylvania,2020-02-24,0
42009,Pennsylvania,2020-02-25,0
42009,Pennsylvania,2020-02-26,0
42009,Pennsylvania,2020-02-27,0
42009,Pennsylvania,2020-02-28,0
42009,Pennsylvania,2020-02-29,0
42009,Pennsylvania,2020-03-01,0
42009,Pennsylvania,2020-03-02,0
42009,Pennsylvania,2020-03-03,0
42009,Pennsylvania,2020-03-04,0
42009,Pennsylvania,2020-03-05,0
42009,Pennsylvania,2020-03-06,0
42009,Pennsylvania,2020-03-07,0
42009,Pennsylvania,2020-03-08,0
42009,Pennsylvania,2020-03-09,0
42009,Pennsylvania,2020-03-10,0
42009,Pennsylvania,2020-03-11,0
42009,Pennsylvania,2020-03-12,0
42009,Pennsylvania,2020-03-13,0
42009,Pennsylvania,2020-03-14,0
42009,Pennsylvania,2020-03-15,0
42009,Pennsylvania,2020-03-16,0
42009,Pennsylvania,2020-03-17,0
42009,Pennsylvania,2020-03-18,0
42009,Pennsylvania,2020-03-19,0
42009,Pennsylvania,2020-03-20,0
42009,Pennsylvania,2020-03-21,0
42009,Pennsylvania,2020-03-22,0
42009,Pennsylvania,2020-03-23,0
42009,Pennsylvania,2020-03-24,0
42009,Pennsylvania,2020-03-25,0
42009,Pennsylvania,2020-03-26,0
42009,Pennsylvania,2020-03-27,0
42009,Pennsylvania,2020-03-28,0
42009,Pennsylvania,2020-03-29,0
42009,Pennsylvania,2020-03-30,0
42009,Pennsylvania,2020-03-31,0
42009,Pennsylvania,2020-04-01,0
42009,Pennsylvania,2020-04-02,0
42009,Pennsylvania,2020-04-03,0
42009,Pennsylvania,2020-04-04,0
42009,Pennsylvania,2020-04-05,0
42009,Pennsylvania,2020-04-06,0
42009,Pennsylvania,2020-04-07,0
42009,Pennsylvania,2020-04-08,0
42009,Pennsylvania,2020-04-09,0
42009,Pennsylvania,2020-04-10,0
42009,Pennsylvania,2020-04-11,1
42009,Pennsylvania,2020-04-12,1
42009,Pennsylvania,2020-04-13,1
42009,Pennsylvania,2020-04-14,1
42009,Pennsylvania,2020-04-15,1
42009,Pennsylvania,2020-04-16,1
42009,Pennsylvania,2020-04-17,1
42009,Pennsylvania,2020-04-18,1
42009,Pennsylvania,2020-04-19,1
42009,Pennsylvania,2020-04-20,1
42009,Pennsylvania,2020-04-21,1
42009,Pennsylvania,2020-04-22,1
42009,Pennsylvania,2020-04-23,1
42009,Pennsylvania,2020-04-24,1
42009,Pennsylvania,2020-04-25,1
42009,Pennsylvania,2020-04-26,1
42009,Pennsylvania,2020-04-27,1
42009,Pennsylvania,2020-04-28,1
42009,Pennsylvania,2020-04-29,1
42009,Pennsylvania,2020-04-30,1
42009,Pennsylvania,2020-05-01,1
42009,Pennsylvania,2020-05-02,1
42009,Pennsylvania,2020-05-03,1
